Name,Description,Latitude,Longitude,InfoURL,ImageURL
,,,,,
UCSB,A great university located along the California Coast,34.414,-119.8489,"https://en.wikipedia.org/wiki/University_of_California,_Santa_Barbara",https://my.sa.ucsb.edu/catalog/Current/Images/photo_catalognoborder.jpg
,,,,,
San Diego,A beautiful city with amazing coastal scenery,32.7157,-117.1611,https://en.wikipedia.org/wiki/San_Diego,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F28%2F2021%2F02%2F05%2Fsan-diego-california-SDTG0221.jpg&w=650&h=436&c=sc&poi=face&q=85
,,,,,
Sedona,A green oasis in the Arizona desert,34.8697,-111.761,"https://en.wikipedia.org/wiki/Sedona,_Arizona",https://lp-cms-production.imgix.net/2021-04/GettyImages-1282955095.jpg?auto=format&fit=crop&sharp=10&vib=20&ixlib=react-8.6.4&w=850&q=75&dpr=1
,,,,,
New York,Thriving economic and cultural hub of the U.S.,40.7128,-74.006,https://en.wikipedia.org/wiki/New_York_City,https://media.architecturaldigest.com/photos/5da74823d599ec0008227ea8/16:9/w_2560%2Cc_limit/GettyImages-946087016.jpg
,,,,,
Telluride,Quaint ski town in the middle of the Rockies,37.9375,-107.8123,"https://en.wikipedia.org/wiki/Telluride,_Colorado",https://www.colorado.com/sites/default/files/styles/slideshow_slide_medium/public/legacy_drupal_7_images/DSC05161-X3.jpg?h=82f92a78&itok=TPUWOMGj
,,,,,
New Orleans,Modern city with French colonial charm,29.9511,-90.0715,https://en.wikipedia.org/wiki/New_Orleans,https://cdn.shortpixel.ai/spai/q_lossy+ret_img+to_webp/https://magnoliahotels.com/new-orleans/wp-content/uploads/sites/8/2020/07/knownfor.jpg
